",""frci"",""Band_2"",""Band_3"",""Band_4"",""Band_5"",""Band_6"",""Band_7"",""DEM"",""ASPECT_R"",""SLOPE_R"",""cluster"""
19,1.06865283014727,-0.524004547138354,-0.554161602267061,-0.501809739059598,0.524885688190147,-0.0454382653347784,-0.24309963687836,0.133105468873002,0.0139930099679017,0.743673667006678,1
20,1.32353544846988,-0.0667908141838623,-0.0216541185112575,-0.238780271235358,1.03634773626194,0.729694721367995,0.170083128721988,0.122994359106621,-0.0614619928247774,1.30158447085108,1
21,0.56384202548223,-0.0834214011947154,0.083684380436786,-0.277288719383132,1.26758841539944,0.0870638296865124,-0.177234418732469,0.0825499200410956,-0.0503026755611159,1.87153405105763,1
22,0.912394531930181,0.0229773383932717,-0.187609700465935,-0.332861355004839,0.746614972549382,-0.454053889426673,-0.481620206219472,0.0623277005083331,-0.0503026755611159,1.87153405105763,1
23,1.30196503260223,0.45133822721522,0.281213229522105,-0.0738734704142575,1.1546731639663,0.0106350090206752,-0.212611523927019,0.203883237237671,0.0234355091910002,1.72552749733968,1
24,0.462638922636767,0.23103384939799,0.118758777694452,-0.216309340023291,1.10027772677628,-0.125810773827258,-0.315272634813262,0.0825499200410956,0.23353324167974,2.42165304374303,1
25,1.33317756240584,0.463692838617899,0.385452322134248,-0.0429380921355031,1.0432439119458,-0.0690224508112744,-0.250672333493386,0.224105456770433,0.238794184091169,2.50712321845642,1
26,1.36905479090928,0.182616440947071,-0.230825686673847,-0.447702902733351,0.0187877593448201,-0.466585855699858,-0.500977349659235,0.163438798172146,0.299630736241428,2.68034117422197,1
27,1.3380927917601,0.356872887862323,0.252775381669525,-0.0986677222302981,0.98105334820035,-0.296933654833457,-0.376334010746038,0.294883225135102,0.29749746233954,2.78146347069213,1
28,0.431113958882424,-0.0874978233881499,-0.35681833146377,-0.407893973424561,-0.0335579230919655,-0.844763829468235,-0.683779700754878,0.224105456770433,0.189737383446954,2.32058212185194,1
29,1.07467991839571,0.423457669406488,0.0335802607649396,-0.139033188535301,-0.231491010080743,-0.470232439977499,-0.418822274197438,0.35554988373339,0.189159444700625,2.59464837633262,1
30,0.755682613706315,-0.0806342842146331,-0.11128728143531,-0.322341703569005,-0.00509398743388757,-0.445713817581772,-0.439386815579121,0.224105456770433,-0.001050395635054,2.16150930019043,1
31,0.638077198247226,0.0152365269154367,-0.0958680353394283,-0.180756715012454,0.0984230358266973,-0.323159010838391,-0.292144881477771,0.365660993499771,0.0114602784031105,2.6548251332837,1
32,0.507257338898315,-0.276715701451311,-0.649311145948102,-0.454745913301677,-0.58723579182421,-1.24114853347554,-0.887542327385395,0.497105420462728,0.182700129300486,3.30145983518261,1
33,-0.649824019052027,-0.563064607127058,-0.988537292554242,-0.583450881550046,-1.15991078557417,-1.14038686099469,-0.773175009449865,0.51732763999549,0.0177071163229819,3.16172098011123,1
34,1.43426165447478,0.384748500535434,-0.0125046195942554,-0.164989750402274,0.837967334647876,-0.315215675338027,-0.457874932347193,0.426327652098059,0.274311919692724,3.45118248345332,1
35,1.37937931673737,0.794312861643917,1.00538195935505,0.166376811963297,2.09017215097405,0.104898026696753,-0.20285360266728,0.345438773967009,0.238581706610901,3.05791008066973,1
36,0.998165182677159,0.480089471861276,0.934522053675151,0.032139788657788,1.74570403348999,-0.0336355130265152,-0.260951167854599,0.315105444667865,0.105706789550668,1.83348261282619,1
37,0.560554629601686,0.439191494343271,0.40131700105863,-0.0666770714529621,0.85843438470208,0.163248325756805,-0.0383439944083168,0.304994334901484,0.105706789550668,1.83348261282619,1
38,0.996805480722573,0.145270643719961,0.0683280102680055,-0.22280290218724,1.01352173603159,0.0498608598863742,-0.167056793529984,0.213994347004052,0.0234355091910002,1.72552749733968,1
39,0.802765253357566,0.0790034788842535,-0.0296412363533718,-0.279865554351024,0.497440455080305,6.94298178016411e-05,-0.228897621926405,0.304994334901484,0.0999189029881752,1.40279239161968,1
40,1.46512789330978,-0.267914827218316,-0.238261396540456,-0.363187603510757,0.866984792784249,0.386027908782114,0.014357858708683,0.213994347004052,0.0362351526023287,1.25348073998153,1
41,0.0434772987196985,-0.0254229341797575,0.101981662409942,-0.317713572529558,0.847513951979299,0.198151399838729,-0.124614517507449,0.294883225135102,0.0690246773572461,1.28615497227028,1
42,1.45613695550977,-0.465513330265891,-0.472267929875496,-0.380765563249473,0.577827025461272,0.231723538661289,-0.0320490803298288,0.213994347004052,0.062531365560264,0.955867803426948,1
43,0.837960479019519,-0.776259575158359,-0.752049905440016,-0.606023471634831,-0.359915252870852,-0.50180403505864,-0.427073890979783,0.213994347004052,0.0183870442598387,0.965937220924738,1
44,0.397750624229665,-0.394695679450256,-0.265877803303687,-0.49567832854416,0.343023883089761,-0.382633170688614,-0.468902866692057,0.294883225135102,-0.00997444980629911,1.49853748214714,1
45,-0.0137136498147876,-1.40986776140588,-1.18786222196717,-1.02436013077347,-1.11502510451961,-1.17910660675761,-0.854784967176755,0.224105456770433,-0.0648021388145862,1.23128692182314,1
46,-0.297985955892991,-1.42644926917911,-1.31557066706702,-1.01960697626645,-0.891735387553118,-1.12854146091715,-0.85537228332974,0.264549895835959,-0.109362915976336,1.502082328103,1
47,0.721608958151153,-0.918602255335817,-0.942805884636034,-0.816932547934,-0.407444780610241,-0.787855900007022,-0.733441307519869,0.163438798172146,-0.0985010671850496,1.13406909336233,1
