"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster"
"68",650,"Point",1,"Sangat Rendah",0.055068,0.116855,0.094471,0.08374,0.061799,0.320974,0.235489,0.118045,0.001668,1
"69",545,"Point",1,"Sangat Rendah",0.056525,0.114145,0.091329,0.080661,0.053389,0.360935,0.209784,0.094486,0.001756,1
"70",678,"Point",1,"Sangat Rendah",0.057789,0.116227,0.09363,0.085003,0.060888,0.404896,0.235193,0.117764,0.001542,1
"71",758,"Point",1,"Sangat Rendah",0.058047,0.120128,0.097543,0.080095,0.073548,0.238241,0.230659,0.150207,0.001917,1
"72",574,"Point",1,"Sangat Rendah",0.058912,0.117901,0.096814,0.080211,0.071983,0.243776,0.24112,0.141743,0.001819,1
"73",532,"Point",1,"Sangat Rendah",0.061057,0.116241,0.093238,0.08374,0.05882,0.328662,0.22442,0.106906,0.001421,1
"74",658,"Point",1,"Sangat Rendah",0.063683,0.114432,0.090559,0.075947,0.053267,0.300314,0.191459,0.089243,0.001636,1
"75",557,"Point",1,"Sangat Rendah",0.06374,0.113776,0.090708,0.085926,0.052756,0.404579,0.223121,0.101127,0.001434,1
"76",556,"Point",1,"Sangat Rendah",0.064827,0.114515,0.090948,0.086169,0.052471,0.413455,0.224322,0.100385,0.001474,1
"77",535,"Point",1,"Sangat Rendah",0.064889,0.113732,0.089476,0.076557,0.047546,0.34473,0.176222,0.076867,0.00139,1
"78",648,"Point",1,"Sangat Rendah",0.06492,0.113652,0.089947,0.075006,0.051816,0.288929,0.183885,0.086986,0.001613,1
"79",547,"Point",1,"Sangat Rendah",0.066577,0.114724,0.090057,0.077297,0.050044,0.351064,0.192095,0.085383,0.001585,1
"80",691,"Point",1,"Sangat Rendah",0.066978,0.114846,0.091671,0.079407,0.053128,0.36968,0.191737,0.084092,0.001779,1
"81",592,"Point",1,"Sangat Rendah",0.067282,0.117257,0.092864,0.084274,0.056302,0.37063,0.214544,0.099804,0.002243,1
