"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster","kelas"
"91",340,"Point",2,"Sangat Rendah",0.187739,0.12097,0.096548,0.07947,0.057443,0.324516,0.187079,0.086857,0.002024,1,2
"92",644,"Point",2,"Sangat Rendah",0.182837,0.115217,0.090093,0.07724,0.048071,0.382608,0.178457,0.071752,0.002071,1,2
"93",679,"Point",2,"Sangat Rendah",0.116679,0.119021,0.097509,0.085861,0.079736,0.271018,0.239222,0.140077,0.001648,1,2
"94",737,"Point",2,"Sangat Rendah",0.140827,0.11469,0.090815,0.080091,0.052591,0.34926,0.208359,0.094898,0.001884,1,2
"95",620,"Point",2,"Sangat Rendah",0.14271,0.118261,0.096023,0.0825,0.073277,0.262811,0.265018,0.153899,0.00166,1,2
"96",834,"Point",2,"Sangat Rendah",0.188412,0.111455,0.087614,0.072986,0.051354,0.281857,0.145966,0.069426,0.001218,1,2
"97",585,"Point",2,"Sangat Rendah",0.127665,0.114752,0.091114,0.08251,0.052274,0.417078,0.223135,0.09957,0.001827,1,2
"98",553,"Point",2,"Sangat Rendah",0.112916,0.114773,0.091258,0.083159,0.052597,0.391058,0.216675,0.099176,0.001617,1,2
"99",331,"Point",2,"Sangat Rendah",0.154866,0.115678,0.090779,0.074474,0.045742,0.32964,0.160127,0.065434,0.001469,1,2
"100",831,"Point",2,"Sangat Rendah",0.155451,0.111037,0.086779,0.075158,0.05243,0.307173,0.155518,0.069635,0.001558,1,2
"101",467,"Point",2,"Sangat Rendah",0.140592,0.123449,0.101047,0.085659,0.06729,0.27942,0.203604,0.113324,0.001722,1,2
"102",573,"Point",2,"Sangat Rendah",0.127046,0.12078,0.100913,0.083821,0.086654,0.202089,0.231809,0.159963,0.001707,1,2
"103",690,"Point",2,"Sangat Rendah",0.116106,0.12182,0.10081,0.09302,0.086864,0.277927,0.217438,0.126835,0.001734,1,2
"104",771,"Point",2,"Sangat Rendah",0.130467,0.114261,0.090946,0.081027,0.056009,0.351473,0.21931,0.106325,0.001432,1,2
"105",776,"Point",2,"Sangat Rendah",0.151409,0.115508,0.091992,0.082494,0.057393,0.344703,0.216118,0.099901,0.001688,1,2
"106",554,"Point",2,"Sangat Rendah",0.11921,0.115119,0.091368,0.081692,0.054582,0.336383,0.219772,0.103586,0.001221,1,2
"107",588,"Point",2,"Sangat Rendah",0.100439,0.117445,0.093901,0.082952,0.05926,0.352132,0.225574,0.107891,0.001534,1,2
"108",630,"Point",2,"Sangat Rendah",0.108233,0.120739,0.098625,0.085526,0.080725,0.266216,0.280635,0.163683,0.001909,1,2
"109",609,"Point",2,"Sangat Rendah",0.199958,0.116453,0.093144,0.080384,0.059897,0.344218,0.208691,0.098101,0.001665,1,2
"110",381,"Point",2,"Sangat Rendah",0.189568,0.12008,0.096345,0.077956,0.056796,0.287723,0.169777,0.076627,0.002244,1,2
"111",571,"Point",2,"Sangat Rendah",0.106988,0.116678,0.094159,0.079623,0.065628,0.265932,0.21652,0.120245,0.00175,1,2
"112",338,"Point",2,"Sangat Rendah",0.186805,0.115925,0.090323,0.074317,0.045424,0.348646,0.165612,0.067334,0.001813,1,2
"113",584,"Point",2,"Sangat Rendah",0.132974,0.116318,0.092928,0.085234,0.05838,0.400692,0.23464,0.108698,0.001752,1,2
"114",332,"Point",2,"Sangat Rendah",0.192676,0.114959,0.090766,0.075662,0.046211,0.345022,0.166468,0.06849,0.001623,1,2
"115",582,"Point",3,"Rendah",0.264372,0.114978,0.092265,0.082981,0.057595,0.380818,0.208694,0.096148,0.002154,1,3
"116",527,"Point",3,"Rendah",0.275066,0.115798,0.091444,0.076672,0.047595,0.354414,0.173788,0.071124,0.001616,1,3
"117",646,"Point",3,"Rendah",0.243521,0.113369,0.089402,0.077013,0.046229,0.39122,0.17585,0.071804,0.001808,1,3
"118",832,"Point",3,"Rendah",0.284725,0.110653,0.086689,0.071789,0.048226,0.299424,0.148834,0.068931,0.001621,1,3
"119",552,"Point",3,"Rendah",0.287649,0.114342,0.090983,0.078378,0.050678,0.336362,0.186103,0.082091,0.001603,1,3
"120",647,"Point",3,"Rendah",0.260093,0.113684,0.08809,0.071108,0.044551,0.343641,0.167696,0.071818,0.001615,1,3
"121",628,"Point",3,"Rendah",0.265126,0.112715,0.08809,0.07246,0.046848,0.326083,0.147538,0.066501,0.001905,1,3
"122",921,"Point",3,"Rendah",0.213151,0.110553,0.086373,0.070771,0.044202,0.339227,0.160369,0.06739,0.001517,1,3
"123",619,"Point",3,"Rendah",0.295519,0.114889,0.091953,0.07631,0.061076,0.274715,0.21971,0.116293,0.001705,1,3
"124",692,"Point",3,"Rendah",0.210426,0.114029,0.090229,0.07835,0.050749,0.363192,0.18556,0.082746,0.002308,1,3
"125",924,"Point",3,"Rendah",0.237982,0.109619,0.084744,0.069739,0.041729,0.352051,0.157821,0.064014,0.001343,1,3
