Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Class
0.086859,0.068603,0.041732,0.330341,0.140027,0.05701,4
0.087477,0.06864,0.042646,0.330079,0.150459,0.061673,4
0.086141,0.068696,0.04094,0.322514,0.133488,0.051686,3
0.083925,0.068723,0.041381,0.328523,0.154824,0.06264,3
0.083322,0.068725,0.042481,0.29757,0.136576,0.056901,3
0.084293,0.068766,0.04603,0.251027,0.120193,0.053022,3
0.088828,0.068775,0.04252,0.326321,0.127804,0.048884,5
0.089056,0.06879,0.042666,0.323337,0.139678,0.054563,5
0.086458,0.068809,0.041187,0.304302,0.131942,0.051979,4
0.083399,0.06889,0.043228,0.276603,0.116441,0.049764,3
0.086429,0.068939,0.041961,0.32836,0.136021,0.052633,4
0.086778,0.069006,0.042217,0.327974,0.13551,0.05389,4
0.086601,0.069033,0.041647,0.318307,0.129785,0.050435,4
0.08587,0.069037,0.042218,0.308778,0.139857,0.058158,5
0.086636,0.069047,0.042165,0.318748,0.135954,0.052973,4
0.083585,0.069171,0.044994,0.265437,0.115098,0.048777,3
0.089413,0.069198,0.043994,0.300937,0.126566,0.051023,4
0.08881,0.069302,0.041609,0.336519,0.146986,0.057304,5
0.086641,0.069339,0.042207,0.321665,0.140553,0.057074,4
0.084194,0.069369,0.042189,0.323828,0.12675,0.048398,3
0.089029,0.069372,0.044261,0.296533,0.114932,0.045627,5
0.088266,0.069379,0.043062,0.339895,0.135227,0.051524,5
0.089439,0.069412,0.043456,0.321356,0.119868,0.044375,5
0.089045,0.06962,0.043507,0.303494,0.140366,0.056297,4
0.090231,0.069692,0.04367,0.298382,0.110797,0.042128,5
0.089689,0.0697,0.044027,0.324543,0.135535,0.053464,5
0.08488,0.069867,0.044514,0.279856,0.115376,0.046715,3
0.084421,0.070123,0.0442,0.298709,0.150104,0.065175,4
0.089603,0.070229,0.042661,0.325336,0.135029,0.051222,5
0.089104,0.070254,0.043847,0.332964,0.12462,0.048276,5
0.089882,0.07029,0.043583,0.310076,0.122141,0.046395,5
0.090218,0.070291,0.043719,0.319722,0.128549,0.048834,4
0.089697,0.070324,0.044243,0.319947,0.128787,0.049927,4
0.08943,0.070353,0.043777,0.333325,0.124877,0.046002,5
0.089891,0.070356,0.043826,0.326586,0.140594,0.05603,5
0.090563,0.070396,0.044517,0.321419,0.122733,0.046114,5
0.089684,0.070401,0.044827,0.290836,0.151834,0.064018,4
0.086934,0.070444,0.042205,0.340058,0.141141,0.055655,5
0.090707,0.070519,0.044743,0.299206,0.130744,0.051503,4
0.086453,0.070543,0.043119,0.343796,0.162645,0.065739,5
0.08782,0.070597,0.04636,0.334616,0.15689,0.065166,3
0.089499,0.070636,0.042416,0.364488,0.155212,0.060836,5
0.085501,0.070652,0.042986,0.340771,0.154276,0.062124,3
0.085238,0.070688,0.044662,0.30299,0.127921,0.053396,3
0.089967,0.070739,0.044233,0.351012,0.155458,0.061849,5
0.089218,0.070782,0.044281,0.33857,0.12394,0.046486,5
0.086702,0.070821,0.042696,0.335941,0.145264,0.057428,5
0.086474,0.070888,0.044677,0.319906,0.14486,0.059848,3
0.086671,0.070962,0.042495,0.384402,0.163584,0.063972,4
0.089731,0.070981,0.044292,0.344741,0.139428,0.055123,4
0.088948,0.071019,0.043925,0.32766,0.129701,0.051054,4
0.086543,0.071023,0.049302,0.268975,0.135757,0.063118,2
0.087752,0.071049,0.042701,0.370846,0.161005,0.063833,5
0.085764,0.071101,0.046875,0.30976,0.154796,0.069092,2
0.089076,0.071117,0.043379,0.312998,0.146473,0.059536,4
0.091263,0.071122,0.04392,0.350959,0.140335,0.052842,5
0.089758,0.071152,0.044601,0.316314,0.120754,0.044881,5
0.089904,0.071153,0.044345,0.316852,0.112538,0.042478,5
0.090729,0.071199,0.044004,0.346629,0.140922,0.054562,5
0.089821,0.071209,0.044935,0.327732,0.132138,0.049973,5
0.086759,0.071219,0.042132,0.328522,0.136778,0.054056,4
0.086766,0.071231,0.041675,0.323054,0.135839,0.053695,4
0.085357,0.071246,0.045227,0.313498,0.154042,0.066449,3
0.087663,0.071253,0.05095,0.266183,0.127483,0.061502,2
0.086177,0.071263,0.043704,0.33561,0.136127,0.052558,3
0.090527,0.071264,0.044142,0.331994,0.127164,0.047706,5
0.08969,0.071344,0.043531,0.302144,0.151331,0.06126,3
0.088131,0.07135,0.043216,0.325889,0.131776,0.051123,4
0.086308,0.071397,0.041551,0.306154,0.126935,0.050106,5
0.086636,0.071421,0.046773,0.302245,0.133106,0.060591,3
0.087951,0.071446,0.045143,0.361269,0.15935,0.067877,4
0.085374,0.071471,0.047132,0.277913,0.123502,0.054993,2
0.089001,0.071569,0.044126,0.341561,0.140333,0.054726,3
0.091629,0.071656,0.0436,0.350596,0.150812,0.057674,5
0.090844,0.071662,0.045671,0.315087,0.126904,0.050858,4
0.085413,0.071716,0.043298,0.326078,0.126693,0.048638,3
